id_municipio,municipio,estoque_2025,crescimento_2015_2025_pct,remuneracao_mediana_real_2025,massa_salarial_milhoes_2025,saldo_caged_2025,idade_mediana_2025,mulheres_pct_2025,top10_empregadores_pct_2025
3501608,Americana,89452,16.8,3138.41,330.6,482,39,48.9,21.2
3503802,Artur Nogueira,12719,10.0,2915.08,44.2,268,37,48.4,35.9
3508405,Cabreúva,21962,53.4,3106.96,87.7,1443,36,43.4,41.3
3509007,Caieiras,32757,39.4,3199.87,111.5,900,41,44.5,
3509502,Campinas,485323,15.9,3478.84,2618.0,3157,39,48.4,15.3
3509601,Campo Limpo Paulista,13537,5.8,3437.74,56.0,-153,42,40.5,45.6
3512803,Cosmópolis,13085,28.3,3306.82,49.6,1121,40,44.1,44.7
3515152,Engenheiro Coelho,5064,28.7,3118.04,19.3,82,37,46.7,58.7
3516309,Francisco Morato,11679,19.2,2924.70,39.9,252,39,58.5,47.1
3516408,Franco da Rocha,24567,65.5,3179.51,94.85,1655,40,47.5,35.7
3519053,Holambra,14022,79.5,2730.47,46.1,632,37,54.8,42.3
3519079,Hortolândia,61472,37.7,3500.00,337.0,619,37,45.8,34.8
3520509,Indaiatuba,99125,35.7,3296.71,475.0,1152,38,46.4,15.6
3523404,Itatiba,43077,21.8,3126.79,171.9,535,39,43.5,24.0
3524006,Itupeva,35190,43.4,3419.91,155.0,32,37,39.8,22.4
3524709,Jaguariúna,40387,9.5,3451.19,203.4,55,37,44.5,44.0
3525204,Jarinu,12117,64.1,2947.72,51.0,525,37,47.4,40.5
3525904,Jundiaí,208840,20.7,3281.48,965.9,3380,38,46.9,16.4
3527306,Louveira,21800,22.8,3349.63,102.6,1188,36,45.1,40.9
3531803,Monte Mor,19894,50.5,2850.39,72.7,1359,39,41.8,35.9
3532009,Morungaba,4323,-47.3,2832.06,13.7,72,37,53.7,64.8
3533403,Nova Odessa,27639,49.8,3171.79,107.3,555,38,40.3,31.4
3536505,Paulínia,62319,42.0,4213.93,365.3,-359,40,32.9,32.7
3537107,Pedreira,15229,16.0,2814.38,48.9,304,39,48.0,23.7
3545803,Santa Bárbara d'Oeste,54865,19.8,2931.15,196.3,0,39,49.1,28.6
3548005,Santo Antônio de Posse,9886,25.6,3300.29,41.9,236,37,42.4,47.4
3552403,Sumaré,76381,37.3,3274.32,346.7,1125,39,44.2,27.5
3556206,Valinhos,50142,13.4,3368.47,235.1,-90,39,43.9,17.2
3556701,Vinhedo,44084,21.7,3404.47,207.8,201,38,43.5,28.8
3556503,Várzea Paulista,21950,28.1,3114.76,84.0,500,40,41.2,37.2
